objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-2144909115	0	object/tangible/furniture/tatooine/frn_tato_table_small_style_01.iff	0	1028.01	5	940.04	0.955337	0	-0.29552	0		$|
-2144909114	0	object/static/structure/tatooine/wall_ruined_tatooine_large_style_01.iff	0	1061.54	5	1169	0.896053	0	0.443948	0		$|
-2144909113	0	object/static/structure/tatooine/wall_pristine_tatooine_small_style_01.iff	0	976.175	5	1130.48	0.462136	0	0.886809	0		$|
-2144909112	0	object/static/structure/tatooine/pillar_watto_junkshop.iff	0	1034.37	5	1164.68	1	0	0	0		$|
-2144909111	0	object/static/structure/tatooine/wall_cleft_tatooine_large_style_01.iff	0	1070.37	5	1244.27	0.986419	0	-0.164251	0		$|
-2144909110	0	object/building/tatooine/filler_building_tatt_style01_07.iff	0	839.555	5	780.299	0.864524	0	0.502591	0	structure.filler.filler	$|
-2144909109	0	object/static/structure/general/streetlamp_small_style_02.iff	0	952.354	5	1198.83	1	0	0	0		$|
-2144909108	0	object/static/structure/tatooine/streetsign_upright_style_01.iff	0	1110.67	5	726.373	-0.617688	0	0.786423	0		$|
-2144909107	0	object/static/structure/tatooine/wall_pristine_tatooine_large_style_01.iff	0	1095.15	5	742.293	-0.644827	0	0.764329	0		$|
-2144909106	0	object/static/structure/tatooine/pillar_ruined_large_style_01.iff	0	1070.52	5	1104.07	0.9992	0	-0.0399893	0		$|
-2144909105	0	object/static/installation/mockup_mining_liquid_moisture_harvester.iff	0	1131.36	5	696.062	0.204351	0	0.978898	0		$|
-2144909104	0	object/static/structure/tatooine/wall_pristine_tatooine_large_style_01.iff	0	1037.57	5	731.042	-0.629415	0	0.777069	0		$|
-2144909103	0	object/static/structure/tatooine/pillar_pristine_small_style_01.iff	0	1168.2	5	732.758	0.380925	0	0.924606	0		$|
-2144909102	0	object/tangible/furniture/tatooine/frn_tato_cafe_parasol.iff	0	1015.22	5	1111.36	0.0926399	0	0.9957	0		$|
-2144909101	0	object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_01.iff	0	1131.85	5	774.192	0.577608	0	0.816314	0		occupied.limit|0|1|$|
