objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-516994024	0	object/tangible/ground_spawning/area_spawner.iff	0	543	6.20604	1006	-0.555121	0	0.83177	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|2.000000|fltMinSpawnTime|2|1.000000|fltRadius|2|0.000000|intDefaultBehavior|0|3|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|Smuggler_Broker_Russell|strSpawnerType|4|area|strSpawns|4|dathomir/smuggler_broker_russell|$|
-368792095	0	object/tangible/ground_spawning/area_spawner.iff	0	631397	6	1043.94	-0.455673	0	0.890147	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|2.000000|fltMinSpawnTime|2|1.000000|fltRadius|2|0.000000|intDefaultBehavior|0|3|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|Smuggler_Broker_Russell|strSpawnerType|4|area|strSpawns|4|dathomir/smuggler_broker_russell|$|
-43138000	0	object/building/kashyyyk/thm_kash_rodian_bannerpole_s01.iff	0	0	195	0	1	0	0	0		$|
-626436192	0	object/static/structure/tatooine/jawa/tent_jawa_01_small.iff	0	736352	106278	889774	1	0	0	0		$|
-1720729231	0	object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	0	736.14	107305	889289	0.0242012	0	0.999707	0		$|
-19877404	0	object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	0	736193	106171	889501	-0.693111	0	0.720831	0		$|
-932631970	0	object/static/structure/general/camp_lawn_chair_s01.iff	0	735249	106.25	888445	-0.677387	0	0.735628	0		$|
-1880592805	0	object/tangible/collection/hanging_light_04.iff	0	736039	107334	889746	-0.693111	0	0.720831	0	systems.collections.consume_click	collection.slotName|4|col_hanging_light_01:hanging_light_04|$|
-2136002785	0	object/static/structure/general/camp_lawn_chair_s01.iff	0	734904	106379	890368	-0.677387	0	0.735628	0		$|
-1644012811	0	object/tangible/ground_spawning/area_spawner.iff	0	736251	107232	893376	0.220602	0	0.975364	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|360.000000|fltMinSpawnTime|2|180.000000|fltRadius|2|1.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|2|intSpawnSystem|0|1|registerWithController|0|1|strName|4|shadow_outlaw|strSpawnerType|4|area|strSpawns|4|shadow_outlaw|$|
-1303866369	0	object/tangible/planet_map_location/city.iff	0	592308	6.03961	1039.28	-0.165038	0	0.696135	0		$|
-130866368	0	object/tangible/ground_spawning/area_spawner.iff	0	631397	6	1043.94	-0.455673	0	-0.184148	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|120.000000|fltMinSpawnTime|2|60.000000|fltRadius|2|3.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|4|intSpawnSystem|0|1|registerWithController|0|1|strName|4|Smuggler_Enemy_Patrol|strSpawnerType|4|area|strSpawns|4|dathomir/smuggler_patrol_12|$|
-516994024	0	object/tangible/ground_spawning/area_spawner.iff	0	545	6.20604	1006	-0.555121	0	0.83177	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|2.000000|fltMinSpawnTime|2|1.000000|fltRadius|2|0.000000|intDefaultBehavior|0|3|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|Smuggler_Broker_Russell|strSpawnerType|4|area|strSpawns|4|dathomir/smuggler_broker_russell|$|
