objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-1396403538	0	object/static/item/item_star_destroyer_starfield_box.iff	0	499.311	506.93791	993.73	1	0	0	0		$|
-1396403537	0	object/building/general/space_dungeon_star_destroyer.iff	0	500.624	625	741.579	1	0	0	0	theme_park.heroic.daily.star_destroyer.sd_controller:systems.instance.instance_manager:systems.dungeon_sequencer.sequence_controller:structure.municipal.cloning_facility	instance.data_table|4|datatables/spawning/heroic/daily_heroic_star_destroyer.iff|instance_name|4|daily_heroic_star_destroyer|portalProperty.crc|0|-143316206|travel.point_name|4|Blackguard|$|
-1970151580	-1396403537	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-1970151579	-1396403537	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-1970151578	-1396403537	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-1970151577	-1396403537	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-242021090	-1396403537	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-311390398	-242021090	object/tangible/collection/dwartii_statue_sistros.iff	5	6.15478	170.772	391.014	0.921061	0	0.389418	0	systems.collections.consume_click	collection.slotName|4|col_dwartii_statue:dwartii_statue_sistros|$|
-1970151587	-1396403537	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-1970151586	-1396403537	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
-1970151585	-1396403537	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
-1970151584	-1396403537	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
-1970151583	-1396403537	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
-1970151582	-1396403537	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
-1970151581	-1396403537	object/cell/cell.iff	12	0	0	0	1	0	0	0		$|
-1970151580	-1396403537	object/cell/cell.iff	13	0	0	0	1	0	0	0		$|
-856009890	-1396403537	object/cell/cell.iff	14	0	0	0	1	0	0	0		$|
-370026189	-856009890	object/tangible/collection/dwartii_statue_yanjon.iff	14	13.1372	192.335	196.819	0.898261	0	-0.439463	0	systems.collections.consume_click	collection.slotName|4|col_dwartii_statue:dwartii_statue_yanjon|$|
-1970151598	-1396403537	object/cell/cell.iff	15	0	0	0	1	0	0	0		$|
-1970151597	-1396403537	object/cell/cell.iff	16	0	0	0	1	0	0	0		$|
-1970151596	-1396403537	object/cell/cell.iff	17	0	0	0	1	0	0	0		$|
-1970151595	-1396403537	object/cell/cell.iff	18	0	0	0	1	0	0	0		$|
-1970151594	-1396403537	object/cell/cell.iff	19	0	0	0	1	0	0	0		$|
-1970151593	-1396403537	object/cell/cell.iff	20	0	0	0	1	0	0	0		$|
