objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
10951502	0	object/building/military/military_base_shed_imperial_style_01.iff	0	1821.88	1	1629.14	-0.0940645	0	0.995566	0		$|
10951503	10951502	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
10951504	10951502	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
10951505	10951502	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
10951506	10951502	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
10951507	10951502	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
10951508	10951502	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
10951509	0	object/building/military/military_outpost_guard_house_imperial.iff	0	1819.33	1	1598.82	-0.0906718	0	0.995881	0		$|
10951510	10951509	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
10951511	10951509	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
10951512	0	object/building/tatooine/cloning_facility_tatooine.iff	0	1194.09	0	1522.62	0.466913	0	0.884304	0	structure.municipal.cloning_facility	healing.canhealshock|0|1|$|
10951513	10951512	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
10951514	10951512	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
10951515	10951512	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
10951516	10951512	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
10951517	10951512	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
10951518	10951512	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
10951519	0	object/building/kashyyyk/mun_kachirho_starport.iff	0	1570.98	-1	1342.91	-0.700285	0	0.713864	0	structure.municipal.starport:theme_park.dungeon.generic_spawner	spawn_table|4|datatables/spawning/building_spawns/mos_eisley_starport.iff|travel.air_time|0|60|travel.cost|0|150|travel.ground_time|0|300|travel.point_name|4|Hoth Aplha One|travel.shuttle_available|0|1|travel.version|0|3|$|
10951520	10951519	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
10951521	10951519	object/tangible/terminal/terminal_space.iff	2	0	0	0	1	0	0	0		$|
10951522	0	object/building/tatooine/cloning_facility_tatooine.iff	0	1393.84	2	1123.01	0.900447	0	-0.434966	0	structure.municipal.cloning_facility	healing.canhealshock|0|1|$|
10951523	10951522	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
10951524	10951522	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
10951525	10951522	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
10951526	10951522	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
10951527	10951522	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
10951528	10951522	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
10951539	0	object/soundobject/soundobject_city_crowd_medium.iff	0	1419.91	1	1614.77	1	0	0	0		$|
10951540	0	object/soundobject/soundobject_city_crowd_small.iff	0	1432.53	1	1572.94	1	0	0	0		$|
10951541	0	object/soundobject/soundobject_city_crowd_medium.iff	0	1307.48	1	1645.11	1	0	0	0		$|
10951542	0	object/soundobject/soundobject_city_crowd_small.iff	0	1357.73	1	1634.65	1	0	0	0		$|
10951543	0	object/soundobject/soundobject_city_crowd_small.iff	0	1300.46	1	1566.07	1	0	0	0		$|
10951544	0	object/soundobject/soundobject_city_crowd_small.iff	0	1270.74	1	1635.49	1	0	0	0		$|
10951545	0	object/soundobject/soundobject_city_crowd_small.iff	0	1229.85	1	1614.47	1	0	0	0		$|
10951546	0	object/soundobject/soundobject_city_crowd_small.iff	0	1218.63	1	1584.71	1	0	0	0		$|
10951547	0	object/soundobject/soundobject_city_crowd_small.iff	0	1246.17	1	1516.88	1	0	0	0		$|
10951548	0	object/soundobject/soundobject_city_crowd_small.iff	0	1370.49	1	1495.4	1	0	0	0		$|
10951549	0	object/soundobject/soundobject_city_crowd_medium.iff	0	1389.2	1	1372.53	1	0	0	0		$|
10951550	0	object/soundobject/soundobject_city_crowd_sentients_large.iff	0	1467.99	1	1338.73	1	0	0	0		$|
10951551	0	object/soundobject/soundobject_city_crowd_small.iff	0	1437.98	1	1417.44	1	0	0	0		$|
10951552	0	object/soundobject/soundobject_city_crowd_small.iff	0	1257.41	1	1469.42	1	0	0	0		$|
10951553	0	object/soundobject/soundobject_city_crowd_small.iff	0	1187.94	1	1458.51	1	0	0	0		$|
10951554	0	object/soundobject/soundobject_city_crowd_small.iff	0	1178.36	1	1392.56	1	0	0	0		$|
10951555	0	object/soundobject/soundobject_city_crowd_small.iff	0	1248.69	1	1350.79	1	0	0	0		$|
10951556	0	object/soundobject/soundobject_city_crowd_small.iff	0	1295.19	1	1356.59	1	0	0	0		$|
10951557	0	object/soundobject/soundobject_city_crowd_small.iff	0	1326.14	1	1322.46	1	0	0	0		$|
10951558	0	object/static/structure/tatooine/palette_supply_01.iff	0	2010.53	1	1389.56	0.963771	0	-0.266731	0		$|
10951559	0	object/static/structure/tatooine/palette_supply_02.iff	0	2012.97	1	1385.13	0.967663	0	-0.252245	0		$|
10951560	0	object/static/structure/tatooine/palette_supply_03.iff	0	2009.64	1	1386.14	0.965092	0	-0.261909	0		$|
10951561	0	object/static/structure/tatooine/palette_supply_04.iff	0	2006.29	1	1387.09	0.967663	0	-0.252245	0		$|
10951562	0	object/static/structure/tatooine/palette_supply_05.iff	0	2008.66	1	1382.68	0.967663	0	-0.252245	0		$|
10951563	0	object/static/structure/tatooine/palette_supply_01.iff	0	2005.34	1	1383.76	0.232068	0	0.9727	0		$|
10951564	0	object/static/structure/tatooine/palette_supply_01.iff	0	1995.61	1	1401.99	-0.523366	0	0.852108	0		$|
10951565	0	object/static/structure/tatooine/palette_supply_05.iff	0	1981.05	1	1397.09	1	0	0	0		$|
10951566	0	object/static/structure/tatooine/palette_supply_04.iff	0	1969.15	1	1391.06	0.978031	0	-0.20846	0		$|
10951567	0	object/building/general/dantooine_force_crystal_hunter_sd_cave.iff	0	1951.85	1	1261.22	3.20013E-08	0	1	0		$|
10951585	10951567	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
10951586	10951585	object/tangible/poi/spawnegg/interior_spawnegg.iff	1	23.54712296	-29.80154419	-15.05016613	1	0	0	0		intRandomYaw|0|1|$|
10951584	10951567	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
10951587	10951584	object/tangible/poi/spawnegg/interior_spawnegg.iff	2	22.75145531	-40.60446548	-47.28037643	1	0	0	0		intRandomYaw|0|1|$|
10951588	10951584	object/tangible/poi/spawnegg/interior_spawnegg.iff	2	51.5237999	-48.65758896	-64.42123413	1	0	0	0		intRandomYaw|0|1|$|
10951589	10951584	object/tangible/poi/spawnegg/interior_spawnegg.iff	2	45.69174576	-47.80649567	-62.10869217	1	0	0	0		intRandomYaw|0|1|$|
10951590	10951584	object/tangible/poi/spawnegg/interior_spawnegg.iff	2	49.6161232	-48.02411652	-18.92257118	1	0	0	0		intRandomYaw|0|1|$|
10951591	10951584	object/tangible/poi/spawnegg/interior_spawnegg.iff	2	48.93991852	-47.07242584	-7.141627789	1	0	0	0		intRandomYaw|0|1|$|
10951592	10951584	object/tangible/poi/spawnegg/interior_spawnegg.iff	2	52.62257385	-67.93469238	-42.07501221	1	0	0	0		intRandomYaw|0|1|$|
10951593	10951584	object/tangible/container/loot/placable_loot_crate.iff	2	45.6698	-47.059	-6.79665	0.00920352	0	0.999958	0		$|
10951583	10951567	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
10951594	10951583	object/tangible/poi/spawnegg/interior_spawnegg.iff	3	89.23966217	-65.22011566	-30.80838585	1	0	0	0		intRandomYaw|0|1|$|
10951568	10951567	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
10951569	10951568	object/tangible/poi/spawnegg/interior_spawnegg.iff	4	69.39627838	-75.52272797	-57.49768066	1	0	0	0		intRandomYaw|0|1|$|
10951570	10951568	object/tangible/poi/spawnegg/interior_spawnegg.iff	4	65.21089172	-75.5415802	-65.63469696	1	0	0	0		intRandomYaw|0|1|$|
10951571	10951568	object/tangible/poi/spawnegg/interior_spawnegg.iff	4	86.42470551	-76.56774139	-65.32893372	1	0	0	0		intRandomYaw|0|1|$|
