objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
900000001	0	object/static/structure/general/tankfarm_s01.iff	0	-1520.0	18.5	-1780.0	0.92388	0	0.38268	0		$|
900000002	0	object/static/structure/general/tankfarm_s01.iff	0	-1465.0	18.0	-1695.0	0.38268	0	0.92388	0		$|
900000003	0	object/static/flora/flora_tree_rori_mkpodtree.iff	0	-1380.0	21.0	-1602.0	0.70711	0	0.7071	0		$|
900000004	0	object/static/flora/flora_tree_rori_windswept_s00.iff	0	-1335.0	21.6	-1548.0	0.95106	0	0.30902	0		$|
900000005	0	object/tangible/ground_spawning/area_spawner.iff	0	-1412.0	17.8	-1708.0	0.96593	0	0.25882	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|180.000000|fltMinSpawnTime|2|60.000000|fltRadius|2|12.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|4|intSpawnSystem|0|1|registerWithController|0|1|strName|4|taanab_farmland_watch|strSpawnerType|4|area|strSpawns|4|taanab/farmer_watch|$|
900000006	0	object/tangible/ground_spawning/area_spawner.iff	0	-1290.0	19.2	-1624.0	0.81915	0	0.57358	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|220.000000|fltMinSpawnTime|2|90.000000|fltRadius|2|18.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|5|intSpawnSystem|0|1|registerWithController|0|1|strName|4|taanab_gentle_wilds|strSpawnerType|4|area|strSpawns|4|taanab/wild_bol|$|
900000007	0	object/static/flora/flora_tree_rori_mkpodtree.iff	0	-1235.0	22.1	-1718.0	0.57358	0	-0.81915	0		$|
900000008	0	object/static/flora/flora_tree_rori_mkpodtree.iff	0	-1190.0	22.4	-1682.0	0.25882	0	0.96593	0		$|
900000009	0	object/static/structure/general/campfire_fresh.iff	0	-1358.0	17.9	-1664.0	1	0	0	0		$|
900000010	0	object/static/structure/general/camp_lawn_chair_s01.iff	0	-1355.2	17.8	-1660.7	0.79335	0	-0.60876	0		$|
900000011	0	object/static/structure/general/camp_lawn_chair_s01.iff	0	-1362.1	17.7	-1663.9	0.13053	0	0.99144	0		$|
900000012	0	object/static/flora/flora_tree_rori_windswept_s00.iff	0	-1504.0	20.9	-1585.0	0.81915	0	0.57358	0		$|
