objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
900000301	0	object/static/naboo/waterfall_200m.iff	0	-1806.0	37.5	-460.0	0.90631	0	0.42262	0		$|
900000302	0	object/static/naboo/waterfall_mist_lg.iff	0	-1782.0	-10.0	-430.0	0.96593	0	0.25882	0		$|
900000303	0	object/static/flora/flora_tree_rori_mkpodtree.iff	0	-1754.0	14.2	-498.0	0.70711	0	0.7071	0		$|
900000304	0	object/static/flora/flora_tree_rori_windswept_s00.iff	0	-1704.0	15.3	-444.0	0.81915	0	0.57358	0		$|
900000305	0	object/static/structure/general/campfire_fresh.iff	0	-1682.5	14.2	-468.0	1	0	0	0		$|
900000306	0	object/static/structure/general/streetlamp_medium_style_02.iff	0	-1666.0	14.2	-492.0	0.57358	0	0.81915	0		$|
900000307	0	object/static/structure/general/streetlamp_medium_style_02.iff	0	-1642.0	14.0	-452.0	0.13053	0	0.99144	0		$|
900000308	0	object/tangible/ground_spawning/area_spawner.iff	0	-1688.0	14.1	-430.0	0.86603	0	0.5	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|240.000000|fltMinSpawnTime|2|120.000000|fltRadius|2|20.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|6|intSpawnSystem|0|1|registerWithController|0|1|strName|4|taanab_riverine_graze|strSpawnerType|4|area|strSpawns|4|taanab/wild_bol|$|
900000309	0	object/tangible/ground_spawning/area_spawner.iff	0	-1622.0	13.8	-476.0	0.93969	0	0.34202	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|260.000000|fltMinSpawnTime|2|140.000000|fltRadius|2|18.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|5|intSpawnSystem|0|1|registerWithController|0|1|strName|4|taanab_pool_waders|strSpawnerType|4|area|strSpawns|4|taanab/wild_nuna|$|
900000310	0	object/static/flora/flora_tree_rori_mkpodtree.iff	0	-1586.0	14.4	-508.0	0.96593	0	-0.25882	0		$|
