objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
4295622	0	object/static/structure/general/poi_temple_ancient_ruined.iff	0	569156	86.9	801498	-0.0549723	0	0.998488	0		$|
4295688	0	object/static/structure/general/tato_cave_rock_large.iff	0	589632	86.8392	832357	0.560603	0	0.828085	0		$|
4295689	0	object/static/structure/general/tato_cave_rock_med.iff	0	590499	86.7888	831326	-0.457333	0	0.889295	0		$|
4295690	0	object/static/structure/general/tato_cave_rock_large.iff	0	588156	86.8997	831544	0.96618	0	0.257868	0		$|
4295691	0	object/static/structure/general/tato_cave_rock_med.iff	0	588552	86.8938	830312	0.719869	0	-0.69411	0		$|
4295692	0	object/static/structure/general/tato_cave_rock_med.iff	0	586854	86.8976	832481	0.119202	0	0.99287	0		$|
4295693	0	object/static/structure/general/skeleton_human_head.iff	0	589196	86.8786	831354	0.104807	0	0.994493	0		$|
4295696	0	object/static/structure/general/poi_all_monolith_s01.iff	0	545492	88169	807597	1	0	0	0		$|
4295698	0	object/static/structure/general/rock_forestriverrock_lg.iff	0	568419	86.9	762.36	1	0	0	0		$|
4295700	0	object/static/structure/general/rock_forestriverrock_lg.iff	0	588045	86.5857	833.53	0.937072	0.0657024	-0.342058	0.0239833		$|
4295701	0	object/static/structure/general/tato_cave_rock_large.iff	0	540124	87.2279	811506	1	0	0	0		$|
4295703	0	object/static/structure/dantooine/dant_jedi_temple_pillar.iff	0	560143	87.4399	807501	0.928665	0	0.370921	0		$|
-910393868	0	object/tangible/ground_spawning/area_spawner.iff	0	560143	87.4399	807501	0.928665	0	0.370921	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|5.000000|fltMinSpawnTime|2|3.000000|fltRadius|2|10.000000|intDefaultBehavior|0|0|intGoodLocationSpawner|0|0|intSpawnCount|0|6|intSpawnSystem|0|1|registerWithController|0|1|strName|4|halloween7|strSpawnerType|4|area|strSpawns|4|halloween_skeleton|$|
8525417	0	object/building/yavin/light_enclave.iff	0	630.28	87.7084	815808	-0.7071	0	0.707114	0		$|
8545446	0	object/static/structure/naboo/gungan_damaged_wide_arch_s01.iff	0	622594	100821	132256	0.454543	-0.04648	0.886474	-0.0734392		$|
8545447	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	618816	100613	134537	0.430554	-0.0534979	0.900972	-0.00315313		$|
8545449	0	object/static/structure/military/military_wall_med_rebl_style_01.iff	0	641123	66.9893	1005.74	0.941089	0.230121	0.247395	0.0138412		$|
8545450	0	object/static/structure/military/military_column_med_rebel_style_01.iff	0	647024	67.4645	1002.83	0.961414	0.141112	-0.163303	-0.170596		$|
8545451	0	object/static/structure/dantooine/dant_gate.iff	0	547078	119761	1957.64	-0.536088	0	0.844162	0		$|
8545452	0	object/static/structure/dantooine/dant_fence_8m.iff	0	544862	119948	1963.05	-0.597834	0	0.80162	0		$|
8545453	0	object/static/structure/dantooine/dant_fence_8m.iff	0	548544	119.67	1951.66	0.783822	0	0.620986	0		$|
8845405	0	object/static/structure/naboo/gungan_sacred_head_s01.iff	0	1394.13	67.4614	868643	0.707107	0	-0.707106	0		$|
8845499	0	object/building/military/outpost_shed.iff	0	1839.83	64.8922	1486.59	0.935897	0	0.352274	0		$|
8845500	8845499	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
8845501	8845499	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
8845502	8845499	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
8845503	8845499	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
8845504	8845499	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
8845505	8845499	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
8845506	0	object/static/structure/nobuild/nobuild_32.iff	0	1851.93	65.1233	1499.19	1	0	0	0		$|
8905396	0	object/static/structure/general/debris_deathstar_turbolaser.iff	0	1996.5	64.0562	1236.62	0.998975	0.0449843	-0.000224923	-0.00499492		$|
3125389	0	object/tangible/poi/spawnegg/exterior_spawnegg.iff	0	637.23877	66.32144928	1001.539551	1	0	0	0		$|
3495388	0	object/tangible/poi/spawnegg/exterior_spawnegg.iff	0	1994.092773	64.67002106	1237.48877	1	0	0	0		$|
