entry_id	spawn_x	spawn_y	spawn_z	hold_x	hold_y	hold_z	waypoint_x	waypoint_y	waypoint_z	tier
s	f	f	f	f	f	f	f	f	f	i
north_gate	1530	24	2790	1552	24	2765	1520	24	2860	1
north_gate	1530	24	2790	1552	24	2765	1630	24	2870	1
north_gate	1530	24	2790	1552	24	2765	1700	24	2795	1
east_gate	1720	24	2645	1690	24	2660	1790	24	2590	2
east_gate	1720	24	2645	1690	24	2660	1765	24	2715	2
east_gate	1720	24	2645	1690	24	2660	1678	24	2744	2
south_gate	1560	24	2500	1580	24	2535	1490	24	2460	0
south_gate	1560	24	2500	1580	24	2535	1650	24	2442	0
south_gate	1560	24	2500	1580	24	2535	1702	24	2528	0
