item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_player_house_deed_jabbas_sail_barge					5		0		
item_tcg_loot_reward_series8_c3po_backpack					5				
item_tcg_loot_reward_series8_yoda_backpack					10				
item_tcg_loot_reward_series8_painting_hanleia					5				
item_tcg_loot_reward_series8_painting_victory					10				
item_tcg_loot_reward_series8_painting_vintage					5				
item_tcg_loot_reward_series8_painting_yoda					10				
item_tcg_decorational_bespin_house					5				
item_tcg_loot_reward_series8_single_pod_airspeeder					5				
item_tcg_loot_reward_series8_palpatine_hologram					10				
item_tcg_loot_reward_series8_bespin_lamp_off					5				
item_tcg_loot_reward_series8_bespin_sconce_off					10				
item_tcg_loot_reward_series8_bespin_shelves					5				
