item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_tcg_loot_reward_series8_torture_table		651							
item_tcg_loot_reward_series8_yoda_backpack		1000							
item_tcg_loot_reward_series6_nightsister_painting		666							
item_tcg_loot_reward_series3_sith_meditation_room_deed	374978								
item_tcg_loot_reward_series6_deed_emperor_spire	374979								
item_tcg_loot_reward_series3_nightsister_vendor	374980								
item_tcg_loot_reward_series3_darth_vader_obi_wan_diorama	374981								
item_tcg_loot_reward_series4_greeter_nightsister	374982								
item_tcg_loot_reward_series5_nightsister_backpack	374983								
item_tcg_loot_reward_series6_nightsister_painting	374984								
item_tcg_loot_reward_series6_guise_of_fire	374985								
