item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_rarepaintingseries2nr1	150000								
item_rarepaintingseries2nr2	150001								
item_rarepaintingseries2nr3	150002								
item_rarepaintingseries2nr4	150003								
item_rarepaintingseries2nr5	150004								
item_rarepaintingseries2nr6	150005								
item_rarepaintingseries2nr7	150006								
item_rarepaintingseries2nr8	150007								
item_rarepaintingseries2nr9	150008								
item_rarepaintingseries2nr10	150009								
item_rarepaintingseries2nr11	150010								
item_rarepaintingseries2nr12	150011								
item_rarepaintingseries2nr13	150012								
item_rarepaintingseries2nr14	150013								
item_rarepaintingseries2nr15	150014								
item_rarepaintingseries2nr16	150015								
item_rarepaintingseries2nr17	150016								
item_rarepaintingseries2nr18	150017								
item_rarepaintingseries2nr19	150018								
item_paintingnew22	150021								
item_paintingnew23	150022								
item_paintingnew24	150023								
item_paintingnew25	150024								
item_paintingnew26	150025								
item_paintingnew27	150026								
item_paintingnew28	150027								
item_paintingnew29	150028								
item_paintingnew30	150029								
item_paintingnew31	150030								
item_paintingnew32	150031								
item_grogu	3000000								
item_porg	3000000								
item_bb8	3000000								
item_bb8black	3000000								
leia_statue	200000								
han_statue	200000								
