strItemType	comments
s	s
item_tcg_loot_reward_series8_bespin_house_deed	
item_tcg_loot_reward_series8_yoda_house_deed	
item_player_house_deed_tree_house_01	
item_player_house_deed_tree_house_02	
Deed_yt1300_house_deed	
item_tcg_loot_reward_series7_deed_vehicle_garage	
item_tcg_loot_reward_series7_deed_commando_bunker	
item_tcg_loot_reward_series7_deed_vip_bunker	
item_tcg_loot_reward_series6_deed_emperor_spire	
item_tcg_loot_reward_series6_deed_rebel_spire	
item_tcg_loot_reward_series4_relaxation_pool_deed_02_01	
