speciesId	templateToken	speciesSkill	languageSkills
i	s	s	s
5	bothan	species_bothan	social_language_basic_speak;social_language_basic_comprehend;social_language_bothan_speak;social_language_bothan_comprehend;social_language_wookiee_comprehend
0	human	species_human	social_language_basic_speak;social_language_basic_comprehend;social_language_wookiee_comprehend
3	moncal	species_moncal	social_language_basic_speak;social_language_basic_comprehend;social_language_moncalamari_speak;social_language_moncalamari_comprehend;social_language_wookiee_comprehend
1	rodian	species_rodian	social_language_basic_speak;social_language_basic_comprehend;social_language_rodian_speak;social_language_rodian_comprehend;social_language_wookiee_comprehend
2	trandoshan	species_trandoshan	social_language_basic_speak;social_language_basic_comprehend;social_language_trandoshan_speak;social_language_trandoshan_comprehend;social_language_wookiee_comprehend
6	twilek	species_twilek	social_language_basic_speak;social_language_basic_comprehend;social_language_twilek_speak;social_language_twilek_comprehend;social_language_lekku_speak;social_language_lekku_comprehend;social_language_wookiee_comprehend
4	wookiee	species_wookiee	social_language_basic_comprehend;social_language_wookiee_speak;social_language_wookiee_comprehend
7	zabrak	species_zabrak	social_language_basic_speak;social_language_basic_comprehend;social_language_zabrak_speak;social_language_zabrak_comprehend;social_language_wookiee_comprehend
33	ithorian	species_ithorian	social_language_basic_speak;social_language_basic_comprehend;social_language_ithorian_speak;social_language_ithorian_comprehend;social_language_wookiee_comprehend
49	sullustan	species_sullustan	social_language_basic_speak;social_language_basic_comprehend;social_language_sullustan_speak;social_language_sullustan_comprehend;social_language_wookiee_comprehend
219	chiss		social_language_basic_speak;social_language_basic_comprehend;social_language_wookiee_comprehend
220	devaronian		social_language_basic_speak;social_language_basic_comprehend;social_language_wookiee_comprehend
224	nautolan		social_language_basic_speak;social_language_basic_comprehend;social_language_wookiee_comprehend
227	togruta		social_language_basic_speak;social_language_basic_comprehend;social_language_wookiee_comprehend
-1	mirialan		social_language_basic_speak;social_language_basic_comprehend;social_language_wookiee_comprehend
-1	cathar		social_language_basic_speak;social_language_basic_comprehend;social_language_wookiee_comprehend
-1	kel_dor		social_language_basic_speak;social_language_basic_comprehend;social_language_wookiee_comprehend
