family	faction	loot_lookup	tier1	tier2	tier3	tier4	tier5
aynat_enforcer	pirate	pirate_tier1	0.187	0.176	0.165	0.154	0.143
aynat_ghost	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
aynat_intimidator	pirate	pirate_tier1	0.204	0.192	0.18	0.168	0.156
aynat_outlaw	pirate	pirate_tier1	0.187	0.176	0.165	0.154	0.143
aynat_vaporizer	pirate	pirate_tier1	0.221	0.208	0.195	0.182	0.169
aynat_viggo	pirate	pirate_tier1	0.32	0.3	0.28	0.26	0.26
bestine_pirate	pirate	story_tatooine_bestine_pirates	0.17	0.16	0.15	0.14	0.13
bestine_pirate_leader	pirate	story_tatooine_bestine_pirates	0.16	0.15	0.14	0.13	0.13
blacklight_assassin	pirate	pirate_tier1	0.153	0.144	0.135	0.126	0.117
blacklight_bomber	pirate	pirate_tier1	0.221	0.208	0.195	0.182	0.169
blacklight_fighter	pirate	pirate_tier1	0.153	0.144	0.135	0.126	0.117
blacklight_leader	pirate	pirate_tier1	0.153	0.144	0.135	0.126	0.117
blacksun_ace_s04	blacksun	blacksun_tier2	0.16	0.15	0.14	0.13	0.13
blacksun_aggressor	blacksun	blacksun_tier2	0.187	0.176	0.165	0.154	0.143
blacksun_bomber_ace_s04	blacksun	blacksun_tier2	0.204	0.192	0.18	0.168	0.156
blacksun_bomber_s01	blacksun	blacksun_tier1	0.204	0.192	0.18	0.168	0.156
blacksun_bomber_s02	blacksun	blacksun_tier1	0.204	0.192	0.18	0.168	0.156
blacksun_bomber_s03	blacksun	blacksun_tier1	0.204	0.192	0.18	0.168	0.156
blacksun_dark_eclipse	blacksun	blacksun_tier1	0.68	0.64	0.6	0.56	0.52
blacksun_dune_lizard	blacksun	blacksun_tier1	0.17	0.16	0.15	0.14	0.13
blacksun_fighter_s01	blacksun	blacksun_tier1	0.17	0.16	0.15	0.14	0.13
blacksun_fighter_s02	blacksun	blacksun_tier1	0.17	0.16	0.15	0.14	0.13
blacksun_fighter_s03	blacksun	blacksun_tier1	0.17	0.16	0.15	0.14	0.13
blacksun_gunship	blacksun	blacksun_tier1	0.68	0.64	0.6	0.56	0.52
blacksun_gunship_duty	blacksun	blacksun_tier1	0.68	0.64	0.6	0.56	0.52
blacksun_heavy_fighter	blacksun	blacksun_tier1	0.221	0.208	0.195	0.182	0.169
blacksun_marauder	blacksun	blacksun_tier1	0.187	0.176	0.165	0.154	0.143
blacksun_transport	blacksun	blacksun_tier1	0.12	0.13	0.14	0.15	0.16
blacksun_vehement	blacksun	blacksun_tier1	0.187	0.176	0.165	0.154	0.143
blacksun_yt1300	blacksun	blacksun_tier1	0.34	0.32	0.3	0.28	0.26
blacksun_yt1300_duty	blacksun	blacksun_tier1	0.34	0.32	0.3	0.28	0.26
bloodrazor_berzerker	blacksun	blacksun_tier1	0.187	0.176	0.165	0.154	0.143
bloodrazor_cutthroat	blacksun	blacksun_tier1	0.17	0.16	0.15	0.14	0.13
bloodrazor_destroyer	blacksun	blacksun_tier1	0.204	0.192	0.18	0.168	0.156
cloak_aggrevator	pirate	pirate_tier1	0.187	0.176	0.165	0.154	0.143
cloak_agitator	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
cloak_annihilator	pirate	pirate_tier1	0.1785	0.168	0.1575	0.147	0.1365
cloak_infiltrator	pirate	pirate_tier1	0.153	0.144	0.135	0.126	0.117
