pool_id	category	asset_id	slot	species	gender	rarity	weight
s	s	s	s	s	s	s	i
outfit_raider_m	outfit	object/tangible/wearables/shirt/shared_shirt_s12.iff	chest	human	male	common	60
outfit_raider_m	outfit	object/tangible/wearables/shirt/shared_shirt_s38.iff	chest	human	male	uncommon	25
outfit_raider_m	outfit	object/tangible/wearables/jacket/shared_jacket_s22.iff	chest	human	male	rare	8
outfit_raider_f	outfit	object/tangible/wearables/shirt/shared_shirt_s26.iff	chest	human	female	common	60
outfit_raider_f	outfit	object/tangible/wearables/shirt/shared_shirt_s32.iff	chest	human	female	uncommon	25
outfit_raider_f	outfit	object/tangible/wearables/jacket/shared_jacket_s21.iff	chest	human	female	rare	8
outfit_raider_rodian	outfit	object/tangible/wearables/vest/shared_vest_s05.iff	chest	rodian	*	common	80
outfit_raider_bothan	outfit	object/tangible/wearables/vest/shared_vest_s10.iff	chest	bothan	*	common	80
outfit_militia_m	outfit	object/tangible/wearables/jacket/shared_jacket_s14.iff	chest	human	male	common	70
outfit_militia_m	outfit	object/tangible/wearables/jacket/shared_jacket_s16.iff	chest	human	male	uncommon	22
outfit_civilian_m	outfit	object/tangible/wearables/shirt/shared_shirt_s34.iff	chest	human	male	common	70
outfit_civilian_f	outfit	object/tangible/wearables/shirt/shared_shirt_s42.iff	chest	human	female	common	70
accessory_raider	accessory	object/tangible/wearables/bandolier/shared_bandolier_s03.iff	bandolier	*	*	uncommon	20
accessory_raider	accessory	object/tangible/wearables/bracelet/shared_bracelet_s02_l.iff	wrist_l	*	*	rare	5
accessory_raider	accessory	object/tangible/wearables/bracelet/shared_bracelet_s02_r.iff	wrist_r	*	*	rare	5
accessory_militia	accessory	object/tangible/wearables/belt/shared_belt_s03.iff	waist	*	*	common	35
accessory_civilian	accessory	object/tangible/wearables/belt/shared_belt_s09.iff	waist	*	*	common	30
hair_human_m_raider	hair	hair_spiked	n/a	human	male	common	50
hair_human_m_raider	hair	hair_short_messy	n/a	human	male	uncommon	20
hair_human_f_raider	hair	hair_braid	n/a	human	female	common	45
hair_human_f_raider	hair	hair_tightbun	n/a	human	female	uncommon	18
hair_human_m_militia	hair	hair_short_clean	n/a	human	male	common	55
hair_human_m_civilian	hair	hair_neat	n/a	human	male	common	55
hair_human_f_civilian	hair	hair_long_loose	n/a	human	female	common	55
face_human_m_raider	face	face_rough_01	n/a	human	male	common	45
face_human_f_raider	face	face_scarred_02	n/a	human	female	uncommon	20
face_human_m_militia	face	face_stern_01	n/a	human	male	common	45
face_human_m_civilian	face	face_plain_03	n/a	human	male	common	45
face_human_f_civilian	face	face_plain_06	n/a	human	female	common	45
face_rodian_generic	face	face_rodian_01	n/a	rodian	*	common	60
face_bothan_generic	face	face_bothan_01	n/a	bothan	*	common	60
