loc_x	loc_y	loc_z	yaw
f	f	f	f
3202.0	18.8235	4978.0	-30
3208.0	18.8235	4986.0	45
3216.0	18.8235	4980.0	120
3224.0	18.8235	4976.0	180
3232.0	18.8235	4984.0	-150
3240.0	18.8235	4980.0	210
3204.0	18.8235	4994.0	12
3212.0	18.8235	4990.0	-60
3220.0	18.8235	4998.0	275
3230.0	18.8235	4992.0	-200
3244.0	18.8235	4996.0	88
3206.0	18.8235	5010.0	160
3214.0	18.8235	5004.0	-115
3222.0	18.8235	5014.0	60
3230.0	18.8235	5008.0	-5
3240.0	18.8235	5012.0	140
3208.0	18.8235	5026.0	210
3218.0	18.8235	5020.0	-75
3232.0	18.8235	5028.0	95
3246.0	18.8235	5022.0	-140
3202.0	18.8235	5040.0	30
3210.0	18.8235	5034.0	-200
3224.0	18.8235	5044.0	260
3236.0	18.8235	5038.0	-45
3244.0	18.8235	5046.0	175
