planet	x	y	z	heading	weight
s	f	f	f	f	i
corellia	-140.3	0.0	-4700.1	45.0	2
corellia	-1765.4	0.0	-3052.7	120.0	3
corellia	3520.8	0.0	-1342.6	280.0	1
dantooine	-4215.6	0.0	-1298.3	210.0	2
dantooine	2364.1	0.0	-3890.4	65.0	3
dantooine	5432.7	0.0	2215.9	310.0	1
dathomir	-6321.9	0.0	4914.2	170.0	2
dathomir	2814.4	0.0	-5486.1	20.0	2
dathomir	6085.7	0.0	3378.8	255.0	1
endor	-5114.8	0.0	-2237.5	140.0	2
endor	1748.9	0.0	-5984.6	330.0	2
endor	4892.3	0.0	4125.7	80.0	1
lok	-6028.5	0.0	-4128.1	300.0	2
lok	-1847.2	0.0	5230.4	110.0	2
lok	4156.8	0.0	-2694.5	35.0	1
naboo	-4890.2	0.0	4142.8	90.0	3
naboo	-5601.5	0.0	5218.4	220.0	2
naboo	3124.6	0.0	-4862.1	305.0	1
rori	-5064.3	0.0	2628.9	250.0	2
rori	1622.5	0.0	-5486.7	95.0	2
rori	5418.4	0.0	1714.3	10.0	1
talus	-5824.7	0.0	-1762.4	160.0	2
talus	2266.3	0.0	-4668.9	45.0	3
talus	4978.1	0.0	3284.6	290.0	1
tatooine	-3150.0	0.0	-4480.0	135.0	3
tatooine	-4212.7	0.0	-5324.9	300.0	1
tatooine	6241.6	0.0	-1287.5	20.0	2
yavin4	5143.6	0.0	-2150.4	180.0	2
yavin4	-4728.2	0.0	-3886.1	70.0	2
yavin4	-1289.4	0.0	5472.9	325.0	1
