Gender Species	Species Enumeration	Gender Enumeration
s	I	I
Male Human	0	0
Female Human	0	1
Male Rodian	1	0
Female Rodian	1	1
Male MonCal	3	0
Female MonCal	3	1
Male Wookiee	4	0
Female Wookiee	4	1
Male Twi'lek	6	0
Female Twi'lek	6	1
Male Trandoshan	2	0
Female Trandoshan	2	1
Male Zabrak	7	0
Female Zabrak	7	1
Male Bothan	5	0
Female Bothan	5	1
Male Ithorian	33	0
Female Ithorian	33	1
Male Sullustan	49	0
Female Sullustan	49	1
Male Aqualish	216	0
Female Aqualish	216	1
Male Arcona	217	0
Female Arcona	217	1
Male Bith	218	0
Female Bith	218	1
Male Chiss	219	0
Female Chiss	219	1
Male Devaronian	220	0
Female Devaronian	220	1
Male Ishitib	221	0
Female Ishitib	221	1
Male Klaatu	222	0
Female Klaatu	222	1
Male Marauder	223	0
Female Marauder	223	1
Male Nautolan	224	0
Female Nautolan	224	1
Male Nightsister	225	0
Female Nightsister	225	1
Male Nikto	226	0
Female Nikto	226	1
Male Togruta	227	0
Female Togruta	227	1
Male Weequay	228	0
Female Weequay	228	1
