male_template	female_template	health	strength	constitution	action	quickness	stamina	mind	focus	willpower
s	s	I	I	I	I	I	I	I	I	I
bothan_male	bothan_female	0	0	0	0	0	0	0	0	0
human_male	human_female	0	0	0	0	0	0	0	0	0
moncal_male	moncal_female	0	0	0	0	0	0	0	0	0
rodian_male	rodian_female	0	0	0	0	0	0	0	0	0
trandoshan_male	trandoshan_female	0	0	0	0	0	0	0	0	0
twilek_male	twilek_female	0	0	0	0	0	0	0	0	0
wookiee_male	wookiee_female	0	0	0	0	0	0	0	0	0
zabrak_male	zabrak_female	0	0	0	0	0	0	0	0	0
sullustan_male	sullustan_female	0	0	0	0	0	0	0	0	0
ithorian_male	ithorian_female	0	0	0	0	0	0	0	0	0
Male Aqualish	Female Aqualish	0	0	0	0	0	0	0	0	0
Male Arcona	Female Arcona	0	0	0	0	0	0	0	0	0
Male Bith	Female Bith	0	0	0	0	0	0	0	0	0
Male Chiss	Female Chiss	0	0	0	0	0	0	0	0	0
Male Devaronian	Female Devaronian	0	0	0	0	0	0	0	0	0
Male Ishitib	Female Ishitib	0	0	0	0	0	0	0	0	0
Male Klaatu	Female Klaatu	0	0	0	0	0	0	0	0	0
Male Marauder	Female Marauder	0	0	0	0	0	0	0	0	0
Male Nautolan	Female Nautolan	0	0	0	0	0	0	0	0	0
Male Nightsister	Female Nightsister	0	0	0	0	0	0	0	0	0
Male Nikto	Female Nikto	0	0	0	0	0	0	0	0	0
Male Togruta	Female Togruta	0	0	0	0	0	0	0	0	0
Male Weequay	Female Weequay	0	0	0	0	0	0	0	0	0
