cosmetic_id	parent_cosmetic_id	variant_id	theme_tag	event_collection_tag	faction	armor_set_id	material_instance	unlock_source	store_preview_group	rig_profile	fit_profile	inherits_parent_rig	inherits_parent_fit	is_selectable	is_variant	enabled	active_start_utc	active_end_utc
s	s	s	s	s	s	s	s	s	s	s	s	b[1]	b[1]	b[1]	b[1]	b[1]	s	s
cosmetic_armor_mando_imp		base	night_sky	live_event_night_sky_2026	imperial	mandalorian_imperial	mi_mando_imp_base	event_unlock	faction_armor_mando_imp	biped_humanoid	mandalorian_standard	0	0	1	0	1	2026-05-01T00:00:00Z	2026-05-31T23:59:59Z
cosmetic_armor_mando_imp_light	cosmetic_armor_mando_imp	light	night_sky_light	live_event_night_sky_2026	imperial	mandalorian_imperial	mi_mando_imp_light	event_unlock	faction_armor_mando_imp	biped_humanoid	mandalorian_standard	1	1	1	1	1	2026-05-01T00:00:00Z	2026-05-31T23:59:59Z
cosmetic_armor_mando_imp_dark	cosmetic_armor_mando_imp	dark	night_sky_dark	live_event_night_sky_2026	imperial	mandalorian_imperial	mi_mando_imp_dark	event_unlock	faction_armor_mando_imp	biped_humanoid	mandalorian_standard	1	1	1	1	1	2026-05-01T00:00:00Z	2026-05-31T23:59:59Z
cosmetic_armor_mando_reb		base	night_sky	live_event_night_sky_2026	rebel	mandalorian_rebel	mi_mando_reb_base	event_unlock	faction_armor_mando_reb	biped_humanoid	mandalorian_standard	0	0	1	0	1	2026-05-01T00:00:00Z	2026-05-31T23:59:59Z
cosmetic_armor_mando_reb_light	cosmetic_armor_mando_reb	light	night_sky_light	live_event_night_sky_2026	rebel	mandalorian_rebel	mi_mando_reb_light	event_unlock	faction_armor_mando_reb	biped_humanoid	mandalorian_standard	1	1	1	1	1	2026-05-01T00:00:00Z	2026-05-31T23:59:59Z
cosmetic_armor_mando_reb_dark	cosmetic_armor_mando_reb	dark	night_sky_dark	live_event_night_sky_2026	rebel	mandalorian_rebel	mi_mando_reb_dark	event_unlock	faction_armor_mando_reb	biped_humanoid	mandalorian_standard	1	1	1	1	1	2026-05-01T00:00:00Z	2026-05-31T23:59:59Z
cosmetic_armor_ubese		base	night_sky	live_event_night_sky_2026	neutral	ubese	mi_ubese_base	event_unlock	faction_armor_ubese	biped_humanoid	ubese_standard	0	0	1	0	1	2026-05-01T00:00:00Z	2026-05-31T23:59:59Z
cosmetic_armor_ubese_light	cosmetic_armor_ubese	light	night_sky_light	live_event_night_sky_2026	neutral	ubese	mi_ubese_light	event_unlock	faction_armor_ubese	biped_humanoid	ubese_standard	1	1	1	1	1	2026-05-01T00:00:00Z	2026-05-31T23:59:59Z
cosmetic_armor_ubese_dark	cosmetic_armor_ubese	dark	night_sky_dark	live_event_night_sky_2026	neutral	ubese	mi_ubese_dark	event_unlock	faction_armor_ubese	biped_humanoid	ubese_standard	1	1	1	1	1	2026-05-01T00:00:00Z	2026-05-31T23:59:59Z
