material_instance_id	parent_material_instance_id	variant_id	faction	base_palette_profile	albedo_multiplier	highlight_multiplier	roughness_multiplier	contrast_curve	accent_mask_texture	emissive_mask_texture	emissive_intensity	enabled
s	s	s	s	s	f	f	f	f	s	s	f	b[1]
mi_mando_imp_base		base	imperial	mando_imp_neutral	1.00	1.00	1.00	1.00	tex/masks/mando_imp_accent_m.tga	tex/masks/mando_imp_emissive_m.tga	0.65	1
mi_mando_imp_light	mi_mando_imp_base	light	imperial	mando_imp_light	1.20	1.25	0.78	1.10	tex/masks/mando_imp_accent_m.tga	tex/masks/mando_imp_emissive_m.tga	0.78	1
mi_mando_imp_dark	mi_mando_imp_base	dark	imperial	mando_imp_dark	0.74	1.18	0.92	1.34	tex/masks/mando_imp_accent_m.tga	tex/masks/mando_imp_emissive_m.tga	0.88	1
mi_mando_reb_base		base	rebel	mando_reb_neutral	1.00	1.00	1.00	1.00	tex/masks/mando_reb_accent_m.tga	tex/masks/mando_reb_emissive_m.tga	0.65	1
mi_mando_reb_light	mi_mando_reb_base	light	rebel	mando_reb_light	1.18	1.22	0.76	1.08	tex/masks/mando_reb_accent_m.tga	tex/masks/mando_reb_emissive_m.tga	0.80	1
mi_mando_reb_dark	mi_mando_reb_base	dark	rebel	mando_reb_dark	0.72	1.20	0.94	1.32	tex/masks/mando_reb_accent_m.tga	tex/masks/mando_reb_emissive_m.tga	0.90	1
mi_ubese_base		base	neutral	ubese_neutral	1.00	1.00	1.00	1.00	tex/masks/ubese_accent_m.tga	tex/masks/ubese_emissive_m.tga	0.60	1
mi_ubese_light	mi_ubese_base	light	neutral	ubese_light	1.16	1.20	0.74	1.06	tex/masks/ubese_accent_m.tga	tex/masks/ubese_emissive_m.tga	0.75	1
mi_ubese_dark	mi_ubese_base	dark	neutral	ubese_dark	0.70	1.24	0.96	1.38	tex/masks/ubese_accent_m.tga	tex/masks/ubese_emissive_m.tga	0.86	1
